,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed
18,32,6.0,200,0.058384899981319904,"[7, 1, 6, 21, 18, 4, 24, 12, 26, 16, 18, 15, 0, 17, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.1,1024,1
19,64,6.0,392,0.10552139999344945,"[7, 1, 6, 21, 18, 4, 24, 12, 26, 16, 18, 15, 0, 17, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.1,1024,1
20,128,3.0,778,0.20018149999668822,"[7, 1, 6, 21, 18, 4, 24, 12, 26, 16, 12, 15, 0, 12, 25, 2, 7, 36, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 30, 7, 13]",5,0.1,1024,1
21,256,2.0,1547,0.400253799976781,"[7, 1, 6, 21, 18, 4, 24, 12, 26, 16, 12, 15, 0, 12, 25, 2, 14, 36, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 14, 8, 32, 34, 19, 25, 15, 23, 30, 7, 13]",5,0.1,1024,1
22,512,0.0,3013,0.7766263000085019,"[11, 1, 6, 21, 18, 4, 24, 12, 26, 16, 12, 15, 0, 39, 25, 2, 35, 36, 26, 5, 22, 13, 33, 39, 23, 28, 20, 37, 32, 14, 8, 32, 34, 19, 25, 15, 23, 31, 7, 37]",5,0.1,1024,1
23,1024,0.0,3013,0.7766263000085019,"[11, 1, 6, 21, 18, 4, 24, 12, 26, 16, 12, 15, 0, 39, 25, 2, 35, 36, 26, 5, 22, 13, 33, 39, 23, 28, 20, 37, 32, 14, 8, 32, 34, 19, 25, 15, 23, 31, 7, 37]",5,0.1,1024,1
24,0,13.0,5,0.001489899994339794,"[37, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 6, 25, 20, 37, 18, 20, 11, 28, 29, 14, 4, 23, 23, 30, 32, 22, 13, 9, 7, 22, 1, 0, 17, 8, 24, 13, 8, 30]",5,0.2,1024,1
25,1,11.0,12,0.004711700021289289,"[12, 1, 30, 21, 18, 4, 2, 12, 39, 34, 10, 32, 18, 22, 25, 2, 7, 39, 26, 5, 22, 9, 22, 37, 23, 36, 20, 37, 32, 38, 21, 32, 34, 19, 25, 15, 13, 20, 6, 13]",5,0.2,1024,1
26,2,11.0,18,0.007673000043723732,"[12, 1, 30, 21, 18, 4, 2, 12, 39, 34, 10, 32, 18, 22, 25, 2, 7, 39, 26, 5, 22, 9, 22, 37, 23, 36, 20, 37, 32, 38, 21, 32, 34, 19, 25, 15, 13, 20, 6, 13]",5,0.2,1024,1
27,4,7.0,31,0.013003400003071874,"[7, 1, 6, 21, 18, 4, 24, 12, 26, 16, 18, 15, 0, 4, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
28,8,6.0,56,0.02101369999581948,"[7, 1, 6, 21, 18, 10, 24, 12, 26, 16, 18, 37, 0, 4, 25, 2, 7, 7, 26, 5, 22, 9, 3, 39, 23, 36, 20, 37, 32, 38, 8, 32, 34, 19, 25, 15, 23, 20, 7, 13]",5,0.2,1024,1
