,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart,seed
0,0,1.0,0,5.15999854542315e-05,"[1, 4, 0, 1, 3]",1,1024,0,10
1,1,1.0,1,0.0006136999581940472,"[1, 4, 0, 1, 3]",1,1024,0,10
2,2,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
3,4,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
4,8,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
5,16,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
6,32,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
7,64,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
8,128,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
9,256,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
10,512,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
11,1024,0.0,3,0.0014686000067740679,"[2, 4, 0, 1, 3]",1,1024,0,10
0,0,3.0,0,9.650003630667925e-05,"[5, 8, 9, 5, 0, 0, 1, 7, 6, 9]",1,1024,0,1
1,1,2.0,2,0.000818000000435859,"[5, 8, 4, 5, 0, 0, 1, 7, 6, 9]",1,1024,0,1
2,2,1.0,4,0.0014463000115938485,"[5, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
3,4,1.0,6,0.0020535000367090106,"[5, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
4,8,1.0,10,0.0027437000535428524,"[5, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
5,16,1.0,18,0.0035540000535547733,"[5, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
6,32,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
7,64,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
8,128,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
9,256,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
10,512,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
11,1024,0.0,31,0.004568900039885193,"[2, 8, 4, 5, 0, 3, 1, 7, 6, 9]",1,1024,0,1
0,0,4.0,0,7.910002022981644e-05,"[8, 8, 6, 2, 8, 7, 2, 1, 5, 4]",1,1024,0,2
1,1,3.0,2,0.0006782999844290316,"[8, 8, 6, 2, 5, 7, 2, 1, 5, 4]",1,1024,0,2
2,2,3.0,3,0.001464499975554645,"[8, 8, 6, 2, 5, 7, 2, 1, 5, 4]",1,1024,0,2
3,4,3.0,5,0.002354700001887977,"[8, 8, 6, 2, 5, 7, 2, 1, 5, 4]",1,1024,0,2
4,8,3.0,9,0.003067100013140589,"[8, 8, 6, 2, 5, 7, 2, 1, 5, 4]",1,1024,0,2
5,16,2.0,18,0.004011599987279624,"[8, 8, 6, 2, 5, 7, 9, 1, 5, 4]",1,1024,0,2
6,32,1.0,35,0.005621600023005158,"[0, 8, 6, 2, 5, 7, 9, 1, 5, 4]",1,1024,0,2
