,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
55,64,10.0,391,0.025399399921298027,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
56,128,10.0,775,0.039371099905110896,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
57,256,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
58,512,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
59,1024,10.0,1231,0.057067399960942566,"[1, 1, 1, 1, 1]",5,0.75,1024,1,5
60,0,1.0,10,0.00016769999638199806,"[3, 4, 0, 1, 3]",10,0.05,1024,1,5
61,1,3.0,22,0.002665099920704961,"[1, 1, 1, 0, 4]",10,0.05,1024,1,5
62,2,6.0,34,0.004938700003549457,"[1, 2, 1, 1, 1]",10,0.05,1024,1,5
63,4,10.0,57,0.007917599985376,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
64,8,10.0,101,0.011670899926684797,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
65,16,10.0,189,0.0161390999564901,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
66,32,10.0,365,0.022927099955268204,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
67,64,10.0,717,0.034850699943490326,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
68,128,10.0,1421,0.059499099967069924,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
69,256,10.0,2246,0.0869615999981761,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
70,512,10.0,2246,0.0869615999981761,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
71,1024,10.0,2246,0.0869615999981761,"[1, 1, 1, 1, 1]",10,0.05,1024,1,5
72,0,1.0,10,0.00015440001152455807,"[3, 4, 0, 1, 3]",10,0.1,1024,1,5
73,1,6.0,22,0.003525799955241382,"[1, 1, 4, 1, 1]",10,0.1,1024,1,5
74,2,10.0,34,0.006368899950757623,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
75,4,10.0,56,0.009247099980711937,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
76,8,10.0,100,0.013109299936331809,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
77,16,10.0,188,0.018908899975940585,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
78,32,10.0,364,0.02832209994085133,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
79,64,10.0,716,0.04163280001375824,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
80,128,10.0,1420,0.07506069994997233,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
81,256,10.0,2234,0.11487669998314232,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
82,512,10.0,2234,0.11487669998314232,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
83,1024,10.0,2234,0.11487669998314232,"[1, 1, 1, 1, 1]",10,0.1,1024,1,5
84,0,1.0,10,0.00021970004308968782,"[3, 4, 0, 1, 3]",10,0.2,1024,1,5
85,1,6.0,22,0.003929800004698336,"[1, 1, 1, 0, 1]",10,0.2,1024,1,5
86,2,6.0,33,0.0069966999581083655,"[1, 1, 1, 0, 1]",10,0.2,1024,1,5
87,4,6.0,55,0.010207699961028993,"[1, 1, 1, 0, 1]",10,0.2,1024,1,5
88,8,10.0,100,0.013939499971456826,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
89,16,10.0,188,0.020130899967625737,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
90,32,10.0,364,0.02974619995802641,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
91,64,10.0,716,0.04331310000270605,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
92,128,10.0,1420,0.06859859998803586,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
93,256,10.0,2267,0.10212000005412847,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
94,512,10.0,2267,0.10212000005412847,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
95,1024,10.0,2267,0.10212000005412847,"[1, 1, 1, 1, 1]",10,0.2,1024,1,5
96,0,1.0,10,0.00020520004909485579,"[3, 4, 0, 1, 3]",10,0.5,1024,1,5
97,1,6.0,22,0.003455400001257658,"[1, 1, 1, 0, 1]",10,0.5,1024,1,5
98,2,6.0,33,0.006494200089946389,"[1, 1, 1, 0, 1]",10,0.5,1024,1,5
99,4,6.0,55,0.01010020007379353,"[1, 1, 1, 0, 1]",10,0.5,1024,1,5
100,8,10.0,100,0.014834900037385523,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
101,16,10.0,188,0.02030830003786832,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
102,32,10.0,364,0.029983600019477308,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
103,64,10.0,716,0.04807080002501607,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
104,128,10.0,1420,0.07506760000251234,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
105,256,10.0,2278,0.10827780002728105,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
106,512,10.0,2278,0.10827780002728105,"[1, 1, 1, 1, 1]",10,0.5,1024,1,5
