,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters,seed,problem_size
48,0,2.0,5,9.82999918051064e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",5,0.75,1024,1,10
49,1,6.0,12,0.0036042999709025025,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,0.75,1024,1,10
50,2,17.0,19,0.006840399990323931,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
51,4,17.0,31,0.011037399992346764,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
52,8,17.0,55,0.01522790000308305,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
53,16,17.0,103,0.020601299998816103,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
54,32,17.0,199,0.027956000005360693,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
55,64,17.0,391,0.03611270000692457,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
56,128,17.0,775,0.05226369999581948,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
57,256,17.0,1543,0.08026209997478873,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
58,512,17.0,3019,0.14246909995563328,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
59,1024,17.0,3019,0.14246909995563328,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",5,0.75,1024,1,10
60,0,2.0,10,0.0001514999894425273,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",10,0.05,1024,1,10
61,1,6.0,22,0.004083900013938546,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.05,1024,1,10
62,2,6.0,33,0.007886899984441698,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.05,1024,1,10
63,4,14.0,57,0.011798500025179237,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.05,1024,1,10
64,8,14.0,101,0.018159100029151887,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.05,1024,1,10
65,16,14.0,189,0.024733700032811612,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.05,1024,1,10
66,32,14.0,365,0.034343000035732985,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.05,1024,1,10
67,64,14.0,717,0.048640099994372576,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",10,0.05,1024,1,10
68,128,15.0,1422,0.07507210003677756,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",10,0.05,1024,1,10
69,256,17.0,2831,0.12670810002600774,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10,0.05,1024,1,10
70,512,17.0,5647,0.22899919998599216,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10,0.05,1024,1,10
71,1024,17.0,7011,0.3546892000013031,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10,0.05,1024,1,10
72,0,2.0,10,0.00014600000577047467,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",10,0.1,1024,1,10
73,1,6.0,22,0.005081100040115416,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.1,1024,1,10
74,2,6.0,33,0.009560700040310621,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.1,1024,1,10
75,4,8.0,56,0.014094400044996291,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",10,0.1,1024,1,10
76,8,10.0,101,0.020413000020198524,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
77,16,10.0,189,0.026792199991177768,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
78,32,10.0,365,0.03579600004013628,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
79,64,10.0,717,0.049919200013391674,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
80,128,10.0,1421,0.07850490004057065,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
81,256,10.0,2829,0.1257836000295356,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
82,512,10.0,5568,0.22701279999455437,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
83,1024,10.0,5568,0.22701279999455437,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10,0.1,1024,1,10
84,0,2.0,10,0.000312299991492182,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",10,0.2,1024,1,10
85,1,6.0,22,0.007371900021098554,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.2,1024,1,10
86,2,6.0,33,0.013629599998239428,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.2,1024,1,10
87,4,6.0,55,0.02459490002365783,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.2,1024,1,10
88,8,6.0,99,0.03500750003149733,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",10,0.2,1024,1,10
89,16,16.0,188,0.048059699998702854,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",10,0.2,1024,1,10
90,32,17.0,365,0.06180630001472309,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
91,64,17.0,717,0.08266070001991466,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",10,0.2,1024,1,10
